Unnamed: 0,id,data,ad_page,ad_order,Title,Price,Date,Time,phone,room,loc,message,url,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,Код:
48,5603697,"2.6 сая ₮
Зэндмэнэ эрдэнэ хотхоны 1а блокт 2 өрөө байр 53.81м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",108.0,49.0,,,,,,,,,,,,,,,,,,,,,,
33,5642109,"3.2 сая ₮
Буянт од 2 өрөө 41м2 байр
2 долоо хоногийн өмнө
УБ — Баянзүрх, 15-р хороолол",123.0,34.0,,,,,,,,,,,,,,,,,,,,,,
18,5736213,"490 сая ₮
Зайсангийн гэрэлт хотхонд 125м2 4 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",110.0,19.0,,,,,,,,,,,,,,,,,,,,,,
38,5747342,"143.09 сая ₮ 180 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
5 өдрийн өмнө
УБ — Хан-Уул, Нисэх",63.0,39.0,,,,,,,,,,,,,,,,,,,,,,
27,5810659,"2.45 сая ₮ 2.8 сая ₮
Хануул дүүрэг 4 өрөө байр 139м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",126.0,28.0,,,,,,,,,,,,,,,,,,,,,,
58,5815321,"171.94 сая ₮
Хангай хотхоны хойно, арга билиг хотхонд 53.73мкв 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 11",81.0,59.0,,,,,,,,,,,,,,,,,,,,,,
53,5837091,"3.6 сая ₮
Худ- т 2 өрөө байр 47m2
4 долоо хоногийн өмнө
УБ — Хан-Уул, 19-р хороолол",151.0,54.0,,,,,,,,,,,,,,,,,,,,,,
31,5850660,"800 сая ₮
Royal castle хотхонд 5 өрөө байр 240мкв
5 өдрийн өмнө
УБ — Баянзүрх, Сансар",3.0,32.0,,,,,,,,,,,,,,,,,,,,,,
29,5850660,,3.0,30.0,Royal castle хотхонд 5 өрөө байр 240мкв,800 сая ₮,2024-03-13,10:28,,5+ өрөө,"УБ — Баянзүрх, Сансар","
-Сансарын #emart -ын хойно #Royal_Castle хотхонд 240 мкв 5 өрөө байр худалдана.

-12/4 давхарт
-240 мкв | 2 а.ц өрөө | 2 тагттай
-Үндсэн болон туслах 2 гал тогоотой
-Баруун, хойшоо, зүүн харсан цонхтой

үнэ: 800сая₮
Гараж 2ш; -80сая


-E-mart
-Family medical center
-English School of Mongolia
-Сэлбэ сургууль, цэцэрлэгийн цогцолбор",https://www.unegui.mn/adv/5850660_khoroollyn-etsest-2oroo-bair-zarna/,Паркет,2 тагттай,2006.0,Байгаа,Вакум,12.0,Бүргэд,240.0 м²,4.0,Лизинггүй,8.0,Ашиглалтад орсон,
3,5858154,"350 сая ₮
50 мянгатын 3 өрөө 80м2 байр
1 долоо хоногийн өмнө
УБ — Чингэлтэй, 50 мянгат",74.0,4.0,,,,,,,,,,,,,,,,,,,,,,
9,5979442,"3 сая ₮ 3.4 сая ₮
Хан вилла 2 өрөө байр 52,85м2
4 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",150.0,10.0,,,,,,,,,,,,,,,,,,,,,,
6,6003523,"569.43 сая ₮
Солонгос элчин сайдын яамны хойно, жаргалан хотхонд 6 өрөө байр
5 өдрийн өмнө
УБ — Хан-Уул, Нархан хотхон",63.0,7.0,,,,,,,,,,,,,,,,,,,,,,
10,6005669,"485.5 сая ₮
Мишээл экспо-н баруун талд, мишээл сити хотхонд 3 өрөө байр 107.9м2
5 өдрийн өмнө
УБ — Хан-Уул, Мишээл",62.0,11.0,,,,,,,,,,,,,,,,,,,,,,
11,6005696,"200 сая ₮
Москва хороололд 3 өрөө байр 89.33m2
5 өдрийн өмнө
УБ — Сонгинохайрхан, Москва хороолол",62.0,12.0,,,,,,,,,,,,,,,,,,,,,,
2,6018704,"75 сая ₮
16-р хороолол, саруул тэнгэр 2 хотхонд 1 өрөө байр 25.84м2
1 долоо хоногийн өмнө
УБ — Баянзүрх, 16-р хороолол",82.0,3.0,,,,,,,,,,,,,,,,,,,,,,
30,6022345,"249.6 сая ₮
Арцат -2 хотхонд 3 өрөө байр
5 өдрийн өмнө
УБ — Хан-Уул, Яармаг",63.0,31.0,,,,,,,,,,,,,,,,,,,,,,
